ID;Titre;Accroche popup;Type;Commune;Code Postal;Adresse;GPS;Latitude;Longitude;Artiste(s);Année;Support;Thème;Description;Photo_url
F011;Fresque participative Ambérieu-en-Bugey;Phénix symbole du renouveau du quartier Gare d'Ambérieu-en-Bugey.;Fresques participatives CCPA;Ambérieu-en-Bugey;01500;L’immeuble Phoenix 60 Av. du Général Sarrail;45.955097,5.336666;45.955097;5.336666;Passe-Mural;2025;Bâtiment associatif;Valorisation identité locale;Le phoenix symbolise le renouveau du quartier Gare : une œuvre ascendante qui exprime l’énergie collective, la transformation du lieu et l’élan d’avenir porté par les habitants.;photos/F011.jpg
F012;Fresque participative de Torcieu;Fresque rassemblant les symboles du Bugey et du village de Torcieu.;Fresques participatives CCPA;Torcieu;01230;Mairie/école 19 Grande rue ;45.920958,5.396739;45.920958;5.396739;"?AH! de la galerie ""Em'Art""";2025;Mairie-école;Valorisation identité locale;Réalisée avec la participation des habitants, cette fresque rassemble les symboles emblématiques de Torcieu et du Bugey : patrimoine naturel, gastronomie, loisirs, légendes et lieux remarquables. Guidés par un Milan royal, deux enfants incarnent l'avenir du village et le lien entre patrimoine et transmission.;photos/F012.jpg
F013;Fresque participative Saint-Rambert-en-Bugey;Fresque inspirée de l'Albarine, rivière emblématique du territoire.;Fresques participatives CCPA;Saint-Rambert-en-Bugey;01230;108 Rue Dr Temporal CSCA;45.948885,5.441877;45.948885;5.441877;Passe-Mural;2023;Centre Socio-Culturel de l’Albarine (CSCA);Nature/Écologie;Inspirée par l’Albarine, cette fresque aux couleurs vives met en scène un personnage porté par un poisson, dans un environnement aquatique.;photos/F013.jpg
F014;Le plongeur Tenay ;La fresque de l'école;Autres fresques du territoire;Tenay;01230;école primaire de Tenay, 37 Rue Centrale;45.91727680142763, 5.509612253145992;45.91727680142763;5.509612253145992;Passe-Mural;2023;Ecole;Nature/Écologie;Cette fresque participative réalisée à l'initiative de la CCPA est partiellement visible depuis l'extérieur. Elle apporte de la couleur à la cour de l’école grâce à une baleine et des vagues peintes sous le préau. Sur le côté du bâtiment, un plongeur, visible depuis l’extérieur, plonge dans ces vagues comme s’il sautait depuis la fenêtre.;photos/F014.jpg
F015;Fresque musée du patrimoine;Fresque célébrant la culture, le patrimoine et les traditions agricoles de Saint-Vulbas.;Autres fresques du territoire;Saint-Vulbas;01150; 73 rue Philibert le Beau;45.812532808697306, 5.275803443870052;45.812532808697306;5.275803443870052;Stéphane Paret;2025;Musée;Patrimoine/Culture;Réalisée sur la façade du Musée du Patrimoine, la fresque met en avant les mots “Culture - Patrimoine - Traditions”, qui constituent le cœur de la mission du musée. Le décor mêle végétaux  et références au monde agricole en écho direct aux collections du musée et à l’histoire rurale du village.;photos/F015.jpg
F016;Fresque château d'eau;Château d'eau transformé en cascade peinte, repère visuel dans le paysage de Sainte-Julie.;Autres fresques du territoire;Sainte-Julie;01150;Château d'Eau, Chem. De Montlieu;45.885678884495974, 5.283256588168281;45.885678884495974;5.283256588168281;Boris Veyret, Ateliers Adeline;2017;Château d'eau;Nature/Écologie;La fresque du château d’eau de Sainte‑Julie représente une cascade peinte qui semble dévaler la tour, créant une mise en scène visuelle en lien avec la fonction du bâtiment. Réalisée par l’Atelier Adeline, elle transforme le château d’eau en repère dans le paysage.;photos/F016.jpg
F017;Fresque musée des traditions Bugistes;Hommage à la transmission des savoirs bugistes.;Autres fresques du territoire;Saint-Rambert-en-Bugey;01230;Musée des traditions Bugistes, 7 Av. de l'Europe.;45.94377353759811, 5.4349984906319495;45.94377353759811;5.4349984906319495;Stéphane Paret;2024;Musée;Patrimoine/Culture;La fresque représente un homme âgé et une personne plus jeune se faisant face, symbolisant la transmission orale des savoirs et des traditions bugistes. Installée sur le Musée des Traditions Bugistes, elle met en scène le lien entre générations et la transmission sur ce lieu dédié à la mémoire du territoire.;photos/F017.jpg
F018;La fresque patrimoine;Trompe-l'œil retraçant l'essor des carrières de Villebois et la vie des carriers.;Autres fresques du territoire;Villebois;01150;Route de la gare, 40 All. des Tilleuls;45.846435334446085, 5.433497040442589;45.846435334446085;5.433497040442589;Cie Vincent Ducaroy;2025;Musée;Artistique/Trompe l'œil;La fresque, peinte à la manière d’un trompe‑l’œil, retrace l’essor des carrières de Villebois. Elle représente les scènes de travail de la pierre, les outils, les gestes et les ouvriers, ainsi que plusieurs figures locales emblématiques.;photos/F018.jpg
F019;La grande fresque;Paysage de Vaux-en-Bugey peint sur une façade du village.;Autres fresques du territoire;Vaux-en-Bugey;01150;Route de Vaux-Févroux;45.928228, 5.357852;45.928228;5.357852;Monsieur Panis;1995;Mur rue;Nature/Écologie;Réalisée sur une façade de Vaux-en-Bugey, la fresque représente un paysage caractéristique du territoire, mêlant rivière, végétation et reliefs du Bugey.;photos/F019.jpg
F020;Fresque Transformateur Electrique;Fresque Le Corbeau et le Renard de Jean de la Fontaine.;Autres fresques du territoire;Vaux-en-Bugey;01150;Rue des Cattes;45.92756856618898, 5.349223784783971;45.92756856618898;5.349223784783971;Art up;;Transformateur électrique;Patrimoine/Culture;La fresque illustre la fable  « Le Corbeau et le Renard » de Jean de La Fontaine.;photos/F020.jpg
F021;Fresque jeunesse ;Fresque nature sur transformateur électrique, réalisée avec des jeunes de Loyettes.;Autres fresques du territoire;Loyettes;01360;Rue du Bugey;45.777269, 5.210405;45.777269;5.210405;La Coulure;2020;Transformateur électrique;Nature/Écologie;Peinte sur un transformateur électrique de Loyettes, cette fresque réalisée par le collectif La Coulure avec des jeunes de la commune célèbre la nature et le paysage local.;photos/F021.jpg
F022;Fresque Rignieux-le-Franc;Fresque en couleurs pastel au cœur de Rignieux-le-Franc.;Autres fresques du territoire;Rignieux-le-franc ;01800 ;Place de la Fontaine;45.94009834913419, 5.188616097539755;45.94009834913419;5.188616097539755;Christian Hagnere;2002;Maison;Nature/Écologie;Fresque en couleurs pastel située au cœur de la commune, elle représente un paysage à l'image du lieu où elle se trouve.;photos/F022.jpg
F023;Marche avec moi;Montagnes, cascade et oiseau : le patrimoine naturel de Tenay en couleurs.;Fresques du Khrôma Festival de Tenay;Tenay;01230; 91 Rue de la Gare;45.92070233298082, 5.505316327891334;45.92070233298082;5.505316327891334;Chloé, Caroline, Coline;2024;Mur rue;Nature/Écologie;La fresque met en valeur le patrimoine naturel local de Tenay à travers une composition colorée représentant les montagnes, une cascade et un oiseau stylisé. Réalisée par trois artistes, elle utilise des formes simples et des aplats de couleurs pour évoquer le paysage caractéristique du village.;photos/F023.jpg
F024;La Schappe et l'Albarine;Fresque collective inspirée de la schappe et de l'Albarine, deux emblèmes du territoire.;Fresques du Khrôma Festival de Tenay;Tenay;01230;18 rue de la Gare;45.91946095746227, 5.508430391869185;45.91946095746227;5.508430391869185;Méthyl'Mnê, Manola, M. Dangelo, Williann, Origin, Mur 69;2021;Mur rue;Histoire locale;La fresque s’inspire de la schappe et de l’Albarine : on y voit des personnages accompagnés d’objets liés au tissage ainsi que de végétaux et de poissons, faisant référence à ces deux éléments majeurs du territoire. L’œuvre mélange les styles propres aux artistes pour créer une composition collective.;photos/F024.jpg
F025;Le hibou;Hibou monumental.;Fresques du Khrôma Festival de Tenay;Tenay;01230;3 Place du Pont;45.91920369932069, 5.508849273585075;45.91920369932069;5.508849273585075;Kat, Action;2024;Mur place;Nature/Écologie;La fresque représente un hibou sur un fond bleu, réalisée à partir d’un assemblage de formes et de couleurs qui dynamise et illumine la place.;photos/F025.jpg
F026;Grand visage;Grand portrait de femme stylisé, signé Marilou Manyoly.;Fresques du Khrôma Festival de Tenay;Tenay;01230;6 Place du Pont;45.918931, 5.509224;45.918931;5.509224;Marilou Manyoly;2020;Mur place;Artistique/Trompe l'œil;"L'artiste Manyoly est spécialisée dans les portraits de femmes ; ici, il s’agit d’un grand portrait stylisé.";photos/F026.jpg
F027;The forgotten secrets guardians;Lynx, femme et montagne : une fresque hyperréaliste en noir et blanc.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Place de la mairie;45.918718, 5.509415;45.918718;5.509415;Aéro (Créaéro, Décograff);2021;Mur place;Nature/Écologie;Cette fresque hyperréaliste en deux parties représente un lynx, une femme et un paysage de montagne rappelant le territoire. Réalisée en noir et blanc, elle utilise les contrastes pour créer une atmosphère intemporelle.;photos/F027.jpg
F028;The song of silence;Buses hyperréalistes en dialogue avec une œuvre réalisée trois ans plus tôt.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Place de la mairie;45.91859839646975, 5.509057964717977;45.91859839646975;5.509057964717977;Aéro (Créaéro, Décograff);2024;Mur place;Nature/Écologie;Cette fresque hyperréaliste représente des buses, en référence à celles présentes sur le territoire. Placée en vis-à-vis de The Forgotten Secrets Guardians, réalisée trois ans plus tôt, elle complète l’ensemble et dialogue avec l’autre œuvre par son thème naturel et sa composition.;photos/F028.jpg
F029;Square des enfants;Expression libre issue d'une jam session graffiti avec habitants et visiteurs.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Place de la mairie;45.918425, 5.508918;45.918425;5.508918;Les habitants, visiteurs;2022;Mur place;Artistique/Trompe l'œil;Expression libre lors d'une Jam session graffiti qui s'est déroulée les 10 et 11 septembre 2022.;photos/F029.jpg
F030;Façade fleurie et l'enfant;Coquelicots et enfant sur la façade de la mairie de Tenay.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Mairie de Tenay, Place de la mairie;45.918044087598325, 5.509099300521462;45.918044087598325;5.509099300521462;Stéphane Paret;2022;Mairie;Nature/Écologie;Stéphane Paret réalise sur la façade de la mairie une fresque représentant des  coquelicots aux côtés d’une enfant tenant une fleur dans la main et l’observant.;photos/F030.jpg
F031;Passerelle en anamorphose (trompe-l'œil);Trompe-l'œil en anamorphose : une passerelle transformée en pont de bois brisé.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Passage André Babolat;45.917790, 5.509475;45.917790;5.509475;Sweo, Nikita;2024;Passage;Artistique/Trompe l'œil; La fresque est un trompe‑l’œil en anamorphose :  un point de vue unique permet d’obtenir l’illusion optimale. Elle joue avec le rôle de la passerelle en la transformant en pont de bois brisé, avec des effets 3D sur les côtés pour renforcer l’illusion. ;photos/F031.jpg
F032;La truite (anamorphose);Anamorphose : depuis la passerelle sur l'Albarine, une truite semble surgir du mur.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Passage André Babolat;45.917711, 5.509594;45.917711;5.509594;Sweo, Nikita;2024;Passage;Artistique/Trompe l'œil;La fresque est un trompe‑l’œil en anamorphose : un point de vue unique permet d’obtenir l’illusion optimale. Depuis la passerelle qui surplombe l’Albarine, on a l’impression que la truite sort du mur !;photos/F032.jpg
F033;Datura;Wild style 3D mêlant nature et matériaux non recyclables.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Passage André Babolat;45.917586, 5.509866;45.917586;5.509866;Ezra;2024;Passage;Artistique/Trompe l'œil;La fresque aborde la thématique de la nature en mêlant un visage à des matériaux non recyclables. Le graffeur utilise ces matériauxpour créer son nom « EZRA » en wild style 3D. Avec un lettrage dynamique qui semble en mouvement et réagir à la lumière.;photos/F033.jpg
F034;Le renard;Renard en grand format sur un fond fissuré en trompe-l'œil.;Fresques du Khrôma Festival de Tenay;Tenay;01230;80 Rue Centrale;45.916427586953034, 5.5097506346335425;45.916427586953034;5.5097506346335425;Kalouf;2024;Mur rue;Nature/Écologie;L’artiste représente un renard sur un fond en trompe‑l’œil évoquant un mur fissuré et éclaté.;photos/F034.jpg
F035;Les enfants pêcheurs;Deux enfants pêchant depuis une passerelle, en clin d'œil aux loisirs de Tenay.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Rue de la Cité Cleyzeau;45.91440492279181, 5.509964424609946;45.91440492279181;5.509964424609946;Nark;2022;Mur rue;Nature/Écologie;La fresque représente deux enfants pêchant depuis une passerelle, en clin d’œil aux activités des environs.;photos/F035.jpg
F036;Street art Comics;Comics Marvel au skatepark des Eaux Noires de Tenay.;Fresques du Khrôma Festival de Tenay;Tenay;01230;skate park / city stade, 3 de la rue de la cité Cleyzeau ;45.914184, 5.509762;45.914184;5.509762;Esprit, Kaos, Ledis, Nark, Metra, Skarp, Krim Graff;2020;Skatepark;Artistique/Trompe l'œil;Un ensemble de fresques sur le thème des comics américains, plus précisément de l’univers Marvel, est visible au skatepark / city-stade des Eaux Noires.;photos/F036.jpg
F037;Muret coloré;Muret végétal : coquelicots, grenouille, hérisson et cycliste.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Fresque située à la sortie sud de Tenay en direction de Belley;45.912315, 5.510219;45.912315;5.510219;Nark;2022;Muret;Nature/Écologie; Ce petit muret prolonge le paysage avec une fresque végétale : coquelicots, escargots, grenouilles, herbes, hérissons, coccinelles… jusqu’aux roues d’un cycliste qui traversent la scène;photos/F037.jpg
F038;Activités aux alentours;Fresque sur transformateur valorisant les activités de plein air de la commune.;Fresques du Khrôma Festival de Tenay;Tenay;01230; rue de la Guinguette ;45.912207, 5.510344;45.912207;5.510344;Nark;2024;Transformateur électrique;Nature/Écologie;Cette fresque est réalisée sur un transformateur électrique et met en avant des photos d’activités pratiquées dans la commune, comme le vélo, la randonnée.;photos/F038.jpg
F039;L'alchimiste;Locomotive, enfant et lanternes inspirés du conte L'Alchimiste de Paulo Coelho.;Fresques du Khrôma Festival de Tenay;Tenay;01230;19 rue centrale;45.918247357183375, 5.5100381635736575;45.918247357183375;5.5100381635736575;LICEA (Alice Imbert);2022;Mur rue;Artistique/Trompe l'œil;Une locomotive, un enfant et des lanternes qui s’envolent dans le ciel composent cette fresque. Inspirée d’un conte de Paolo Coelho, elle met en scène le voyage et de rêve.;photos/F039.jpg
F040;L'enfant phare;Musiciens et chanteuse accompagnant une petite fille au piano.;Fresques du Khrôma Festival de Tenay;Tenay;01230;8 rue centrale;45.91854826220968, 5.51027147086497;45.91854826220968;5.51027147086497;Krim Graff;2022;Bâtiment associatif;Artistique/Trompe l'œil;Cette scène colorée montre des musiciens et une chanteuse accompagnant une petite fille au piano.;photos/F040.jpg
F041;Le héron;Héron tourné vers l'Albarine, sur fond de motifs géométriques.;Fresques du Khrôma Festival de Tenay;Tenay;01230;3 rue Centrale;45.91880462957413, 5.509896050887383;45.91880462957413;5.509896050887383;Grazouilla (Laurent Claveau);2021;Mur rue;Nature/Écologie;La fresque montre un héron, espèce fréquente dans la région, tenant un poisson dans son bec et tourné vers l’Albarine, avec des fleurs d’eau au premier plan et un fond de motifs géométriques.;photos/F041.jpg
F042;Le passage;Trompe-l'œil d'une ruelle ensoleillée derrière une arche en pierre.;Fresques du Khrôma Festival de Tenay;Tenay;01230; 2 rue centrale;45.91894178744158, 5.510079713114773;45.91894178744158;5.510079713114773;Claire Laurent;2022;Mur rue;Artistique/Trompe l'œil;Cette fresque en trompe‑l’œil représente une ouverture sur une ruelle ensoleillée, bordée de végétation, visible derrière une arche en pierre.;photos/F042.jpg
F043;Le martin-pêcheur;Martin-pêcheur posé sur une branche au bord de l'Albarine.;Fresques du Khrôma Festival de Tenay;Tenay;01230;Rue Labbée;45.9192297913451, 5.509949167402157;45.9192297913451;5.509949167402157;Nark;2020;Mur rue;Nature/Écologie;Petite fresque située au bord de la rivière Albarine, représentant un martin‑pêcheur posé sur une branche, un poisson dans le bec.;photos/F043.jpg
F044;La sortie d'usine;Ouvriers sortant de la schappe, entourés de tissus colorés.;Fresques du Khrôma Festival de Tenay;Tenay;01230;10 rue l’Abbé;45.919253, 5.509943;45.919253;5.509943;Artep (Alexis Rapet);2022;Mur rue;Histoire locale;La fresque représente, au centre, une scène en noir et blanc montrant des ouvriers sortant de la schappe, entourée de tissus colorés en référence à l’activité de l'usine. ;photos/F044.jpg
F045;La fileuse;Portrait d'une fileuse en sépia, hommage à l'industrie de la schappe.;Fresques du Khrôma Festival de Tenay;Tenay;01230;18 rue l’Abbé;45.919610430956716, 5.509961382979504;45.919610430956716;5.509961382979504;Julien Lachaize;2022;Mur rue;Histoire locale; L’artiste représente ici une fileuse, en référence à la schappe, valorisant le patrimoine industriel du territoire. L’effet sépia rappelle le caractère historique de l’image et de cette activité.;photos/F045.jpg
F046;Petit visage;Petit portrait de femme stylisé, signé Marilou Manyoly.;Fresques du Khrôma Festival de Tenay;Tenay;01230;petit escalier montant vers l’église depuis la route d’hauteville;45.9193270912089, 5.509371175463267;45.9193270912089;5.509371175463267;Marilou Manyoly;2020;Mur rue;Artistique/Trompe l'œil;"Manyoly est spécialisée dans les portraits de femmes ; ici, il s’agit d’un petit portrait stylisé.";photos/F046.jpg
F047;Ancienne poste;Cartes postales anciennes reproduites sur l'ancienne poste de Tenay.;Fresques du Khrôma Festival de Tenay;Tenay;01230;3 rue Neuve;45.91910599920623, 5.5095782546363745;45.91910599920623;5.5095782546363745;Artep (Alexis Rapet);2021;Ancienne poste;Histoire locale;Reproduction de cartes postales anciennes sur la façade de l’ancien bâtiment des PTT de Tenay.;photos/F047.jpg
F048;L’Albarine;Hommage à l'Albarine, rivière aux eaux claires traversant gorges et vallées.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Rue de l'Albarine.;45.95574547415262, 5.332831371318274;45.95574547415262;5.332831371318274;Y-not;2018;Transformateur électrique;Nature/Écologie; La fresque rend hommage à l’Albarine, une rivière aux eaux claires qui traverse gorges, cascades et vallées avant de rejoindre l’Ain. ;photos/F048.jpg
F049;Animobilité;Animaux en transports inspirés de Zootopie, menant au pôle multimodal d'Ambérieu.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Avenue du Général Sarrail;45.955308, 5.335935;45.955308;5.335935;Y-Not;2022;Mur rue;Valorisation identité locale;Inspirée du dessin animé Zootopie, cette fresque imagine des animaux utilisant différents types de transports. On y voit toute une scène qui accompagne le visiteur jusqu’au pôle de transports d’Ambérieu-en-Bugey, où se rejoignent trains, bus, taxis, covoiturage et stationnements vélos...;photos/F049.jpg
F050;Le Petit Prince et le Renard;Le Petit Prince et le Renard, hommage à Antoine de Saint-Exupéry.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Rue Saint-Exupéry;45.95769236039621, 5.340318579658338;45.95769236039621;5.340318579658338;Y-not;2018;Transformateur électrique;Patrimoine/Culture;Cette fresque rend hommage à Antoine de Saint‑Exupéry en mettant en scène le Petit Prince et le Renard. Elle se situe à quelques kilomètres de Saint-Maurice-de-Remens, où ce trouve un château où l’auteur a vécu.;photos/F050.jpg
F051;Square Normandie Niémen;Fresque nature avec yak et avion, en référence à l'escadrille Normandie-Niémen.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;33 Rue Jules Ferry;45.957492, 5.341872;45.957492;5.341872;Y-not;2018;Transformateur électrique;Patrimoine/Culture;La fresque met en valeur la nature dans le cadre du réaménagement du square par la ville, orienté vers la préservation de l'environnement. On y retrouve un yak et un avion, en référence à l'escadrille Normandie-Niémen.;photos/F051.jpg
F052; L’île aux enfants;Casimir, Pollux et Zébulon rendent hommage aux émissions de l'enfance.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;24 Rue Jules Ferry;45.95672649722672, 5.343812681486114;45.95672649722672;5.343812681486114;Nark;2022;Transformateur électrique;Patrimoine/Culture;Cette fresque, placée près d'une école, rend hommage aux émissions L'Île aux enfants et Le Manège enchanté. On y retrouve Casimir, Pollux et Zébulon, des personnages qui ont accompagné plusieurs générations d'enfants.;photos/F052.jpg
F053;Micro-forêt;Décor de forêt annonçant le futur parvis-forêt de la gare d'Ambérieu.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;1 Av. du Général Sarrail;45.954113, 5.343007;45.954113;5.343007;Nark;2022;Transformateur électrique;Nature/Écologie;Cette fresque montre un décor de forêt, en lien avec le futur parvis de la gare qui sera inspiré d'une micro forêt. ;photos/F053.jpg
F054;Histoire ferroviaire;Locomotive PLM traversant un mur de pierre, rappelant l'arrivée du rail en 1856.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Pl. de la Gare;45.95417254763803, 5.34243090803726;45.95417254763803;5.34243090803726;Medlakolor;2021;Gare routière;Histoire locale;Cette fresque représente une locomotive PLM qui semble traverser un mur de pierre, rappelant l’arrivée du rail à Ambérieu‑en‑Bugey en 1856.;photos/F054.jpg
F055;Le 7 juin 1944;Hommage aux résistants cheminots d'Ambérieu du 7 juin 1944.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Pl. de la Gare;45.95417254763803, 5.34243090803726;45.95417254763803;5.34243090803726;Medlakolor;2021;Gare routière;Histoire locale;Cette fresque rappelle un événement marquant de l'histoire locale. Le 7 juin 1944, des cheminots résistants et des maquisards ont mené une opération à la gare d'Ambérieu, carrefour stratégique allemand, pour mettre hors service du matériel ferroviaire et éviter son bombardement par les Alliés.;photos/F055.jpg
F056;Rocket Train;Un enfant aux commandes d'une locomotive, symbole des rêves de la ville.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Pl. de la Gare;45.95417254763803, 5.34243090803726;45.95417254763803;5.34243090803726;Medlakolor;2021;Gare routière;Histoire locale;La ville d'Ambérieu-en-Bugey a choisi de représenter un enfant aux commandes d'une locomotive, en référence aux rêves d'enfant de conduire un train.;photos/F056.jpg
F057;L’évolution du train;L'évolution du train des origines jusqu'au futur imaginaire.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Pl. de la Gare;45.95417254763803, 5.34243090803726;45.95417254763803;5.34243090803726;Medlakolor;2021;Gare routière;Histoire locale;Cette fresque représente l'évolution du train à travers les âges, jusqu'à l'imagination d'un train du futur.;photos/F057.jpg
F058;L’innovation;Pendule de Newton en ampoules : symbole de l'intelligence collective.;Musée urbain d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;Av. du Général Sarrail;45.954789227667234, 5.340300253771708;45.954789227667234;5.340300253771708;Y-Not;2019;Transformateur électrique;Histoire locale;La fresque vise à illustrer la force de l'intelligence collective pour permettre à une idée de briller, ainsi on peut voir un pendule de Newton remplacé par des ampoules.;photos/F058.jpg
